ref_code,source_material_id_orig,source_material_id,ref_code_seq
EMOBON00671,Roscoff_MarBIo_S1_210621-211011_MF500,EMOBON_Roskogo_Ha_11,DBN_AAEE
EMOBON00672,Roscoff_MarBIo_S1_210621-211011_SFA,EMOBON_Roskogo_Ha_12,DBN_AAEF
EMOBON00673,Roscoff_MarBIo_S2_210621-211012_MF100,EMOBON_Roskogo_Ha_13,DBN_AAEG
EMOBON00674,Roscoff_MarBIo_S2_210621-211012_MF500,EMOBON_Roskogo_Ha_14,DBN_AAEH
EMOBON00675,Roscoff_MarBIo_S2_210621-211012_SFA,EMOBON_Roskogo_Ha_15,DBN_AAEI
EMOBON00676,Roscoff_MarBIo_S3_210621-211013_MF100,EMOBON_Roskogo_Ha_16,DBN_AAEJ
EMOBON00677,Roscoff_MarBIo_S3_210621-211013_MF500,EMOBON_Roskogo_Ha_17,DBN_AAEK
EMOBON00678,Roscoff_MarBIo_S3_210621-211013_SFA,EMOBON_Roskogo_Ha_18,DBN_AAEL
EMOBON00679,Roscoff_BasBIo_S1_20210519-20220509_MF100,EMOBON_Roskogo_Ha_19,DBN_AAEM
EMOBON00680,Roscoff_BasBIo_S1_20210519-20220509_MF500,EMOBON_Roskogo_Ha_20,DBN_AAEN
EMOBON00681,Roscoff_BasBIo_S1_20210519-20220509_SFA,EMOBON_Roskogo_Ha_21,DBN_AAEO
EMOBON00682,Roscoff_BasBIo_S2_20210519-20220512_MF100,EMOBON_Roskogo_Ha_22,DBN_AAEP
EMOBON00683,Roscoff_BasBIo_S2_20210519-20220512_MF500,EMOBON_Roskogo_Ha_23,DBN_AAEQ
EMOBON00684,Roscoff_BasBIo_S2_20210519-20220512_SFA,EMOBON_Roskogo_Ha_24,DBN_AAER
EMOBON00685,Roscoff_BasBIo_S3_20210519-20220512_MF100,EMOBON_Roskogo_Ha_25,DBN_AAES
EMOBON00686,Roscoff_BasBIo_S3_20210519-20220512_MF500,EMOBON_Roskogo_Ha_26,DBN_AAET
EMOBON00687,Roscoff_BasBIo_S3_20210519-20220512_SFA,EMOBON_Roskogo_Ha_27,DBN_AAEU
EMOBON00688,Roscoff_MarBIo_S1_220607-220907_MF500,EMOBON_Roskogo_Ha_29,DBN_AAEV
EMOBON00689,Roscoff_MarBIo_S1_220607-220907_SFA,EMOBON_Roskogo_Ha_30,DBN_AAEW
EMOBON00690,Roscoff_MarBIo_S2_220607-220907_MF100,EMOBON_Roskogo_Ha_31,DBN_AAEX
EMOBON00691,Roscoff_MarBIo_S2_220607-220907_MF500,EMOBON_Roskogo_Ha_32,DBN_AAEY
EMOBON00692,Roscoff_MarBIo_S2_220607-220907_SFA,EMOBON_Roskogo_Ha_33,DBN_AAEZ
EMOBON00693,Roscoff_MarBIo_S3_220607-220907_MF100,EMOBON_Roskogo_Ha_34,DBN_AAFA
EMOBON00694,Roscoff_MarBIo_S3_220607-220907_MF500,EMOBON_Roskogo_Ha_35,DBN_AAFB
