old_source_mat_id,ref_code,ref_code_seq,ena_accession_number_sample,ena_accession_number_experiment_metag,ena_accession_number_experiment_metab,ena_accession_number_run_metag,ena_accession_number_run_metab,ena_accession_number_project,ena_accession_number_umbrella,biosamples_accession_number,source_mat_id
EMOBON_EMT21_Wa_220225_3um_1,EMOBON00291,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_EMT21_Wa_46
EMOBON_EMT21_Wa_220225_3um_2,EMOBON00292,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_EMT21_Wa_47
EMOBON_EMT21_Wa_220225_0.2um_1,EMOBON00293,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_EMT21_Wa_51
EMOBON_EMT21_Wa_220225_0.2um_2,EMOBON00294,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_EMT21_Wa_52
EMOBON_EMT21_Wa_220420_3um_1,EMOBON00295,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_EMT21_Wa_61
EMOBON_EMT21_Wa_220420_3um_2,EMOBON00296,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_EMT21_Wa_62
EMOBON_EMT21_Wa_220420_0.2um_1,EMOBON00297,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_EMT21_Wa_66
EMOBON_EMT21_Wa_220420_0.2um_2,EMOBON00298,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_EMT21_Wa_67
EMOBON_EMT21_Wa_220824_3um_1,EMOBON00299,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_EMT21_Wa_91
EMOBON_EMT21_Wa_220824_3um_2,EMOBON00300,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_EMT21_Wa_92
EMOBON_EMT21_Wa_220824_0.2um_1,EMOBON00301,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_EMT21_Wa_96
EMOBON_EMT21_Wa_220824_0.2um_2,EMOBON00302,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_EMT21_Wa_97
EMOBON_MBAL4_Wa_220301_3um_1,EMOBON00303,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_MBAL4_Wa_21
EMOBON_MBAL4_Wa_220301_3um_2,EMOBON00304,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_MBAL4_Wa_22
EMOBON_MBAL4_Wa_220301_0.2um_1,EMOBON00305,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_MBAL4_Wa_23
EMOBON_MBAL4_Wa_220301_0.2um_2,EMOBON00306,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_MBAL4_Wa_24
EMOBON_MBAL4_Wa_220427_3um_1,EMOBON00307,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_MBAL4_Wa_31
EMOBON_MBAL4_Wa_220427_3um_2,EMOBON00308,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_MBAL4_Wa_32
EMOBON_MBAL4_Wa_220427_0.2um_1,EMOBON00309,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_MBAL4_Wa_33
EMOBON_MBAL4_Wa_220427_0.2um_2,EMOBON00310,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_MBAL4_Wa_34
EMOBON_MBAL4_Wa_220427_3um_blank,EMOBON00311,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_MBAL4_Wa_39
EMOBON_MBAL4_Wa_220427_0.2um_blank,EMOBON00312,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_MBAL4_Wa_40
EMOBON_MBAL4_Wa_220616_3um_1,EMOBON00313,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_MBAL4_Wa_41
EMOBON_MBAL4_Wa_220616_3um_2,EMOBON00314,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_MBAL4_Wa_42
EMOBON_MBAL4_Wa_220616_0.2um_1,EMOBON00315,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_MBAL4_Wa_43
EMOBON_MBAL4_Wa_220616_0.2um_2,EMOBON00316,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_MBAL4_Wa_44
EMOBON_MBAL4_Wa_220912_3um_1,EMOBON00317,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_MBAL4_Wa_51
